cuisine,recepies,ingredients
Indian,Masala Karela Recipe,"['gourd', ' salt', ' onion', ' flour', ' turmeric powder', ' red chilli powder', ' cumin seeds', ' coriander powder', ' dry mango powder', ' sunflower oil']"
South Indian Recipes,Spicy Tomato Rice (Recipe),"['rice cooked', ' tomatoes', ' belle', ' salt', ' chickpea lentils', ' cumin seeds', ' white', ' mustard', ' green chilli', ' red chilli', ' cashew peanuts', ' oil']"
South Indian Recipes,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,"['rice vermicelli noodles', ' onion', ' carrots', ' green peas', ' green chillies', ' asafoetida hing', ' mustard seeds', ' white urad', ' ghee', ' curry leaves', ' salt', ' lemon juice']"
South Indian Recipes,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),"['rice soaked', ' yellow moong dal', ' mint leaves', ' coriander', ' green chilli', ' ginger', ' cumin seeds', ' water', ' sunflower oil', ' salt', ' ghee', ' cashew nuts', ' cumin seeds', ' black peppercorns', ' curry leaves', ' asafoetida']"
South Indian Recipes,Spicy Crunchy Masala Idli Recipe,"['idli', ' green bell pepper capsicum', ' tomato', ' onions', ' green chillies', ' red chilli powder', ' turmeric powder', ' tomato ketchup', ' coriander', ' mint leaves', ' sunflower oil', ' salt']"
South Indian Recipes,Cauliflower Leaves Chutney (Recipe in Hindi),"['cabbage leaves', ' tomatoes', ' tamarind', ' white', ' red chillies', ' salt', ' asafoetida', ' garlic', ' turmeric powder', ' oil', ' rye', ' cumin seeds', ' curry leaves']"
Continental,Veg Chili Cheese Burgers Recipe,"['burger buns', ' pickled jalapenos', ' cheese', ' onion', ' red chilli powder', ' salt', ' egg', ' wheat bread crumbs', ' garlic', ' onions', ' tomatoes', ' tomato puree', ' green bell pepper capsicum', ' soy granules', ' red chilli powder', ' red chilli flakes', ' cumin powder', ' oregano', ' tabasco original hot sauce', ' honey', ' salt', ' sunflower oil']"
South Indian Recipes,South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),"['onions', ' cumin seeds', ' black urad', ' tamarind paste', ' red chillies', ' jaggery', ' oil', ' salt', ' rye', ' curry leaves', ' oil']"
Indian,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,"['eggs', ' cinnamon', ' bay leaf', ' cloves', ' sunflower oil', ' coriander powder', ' garam masala powder', ' cream', ' coriander', ' mint leaves', ' green chillies', ' onion', ' ginger', ' garlic']"
Continental,Homemade Tater Tots Recipe,"['potatoes aloo', ' garlic powder', ' onion powder', ' oregano', ' coriander dhania', ' red chilli flakes', ' all purpose flour', ' rice flour', ' salt', ' sunflower oil']"
South Indian Recipes,South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,"['drumstick', ' coconut', ' green chillies', ' curry leaves', ' mustard seeds', ' coconut oil', ' red chillies', ' turmeric powder', ' salt', ' water']"
North Indian Recipes,Mini Dal Samosa Curry / Sabzi Recipe,"['cardamom', ' black peppercorns', ' cinnamon stick', ' cloves', ' mace', ' bay leaf', ' black cardamom', ' fenugreek', ' red chilli powder', ' turmeric powder', ' coriander powder', ' garam masala powder', ' samosas', ' cashew nuts', ' green chilli', ' onion', ' tomato', ' ginger', ' sugar', ' cream', ' sunflower oil']"
Italian Recipes,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,"['baguette', ' butter', ' garlic', ' spinach leaves', ' red bell pepper capsicum', ' tomato', ' onion', ' black pepper powder', ' italian seasoning', ' cream', ' cheddar cheese', ' salt', ' tomato pasta sauce']"
South Indian Recipes,Sundakkai and Methi Leaves Sambar Recipe - Sundkai Methi Sambar Recipe,"[' fenugreek', ' arhar dal', ' tomato', ' tamarind', ' turmeric powder', ' sambar', ' coriander powder', ' mustard', ' cumin seeds', ' red chili', ' asafoetida', ' oil', ' salt', ' curry leaves', ' green coriander', ' water']"
North Indian Recipes,Matar Samosa Recipe -Green Pea Samosa,"['all purpose flour', ' ghee', ' salt', ' sunflower oil', ' ghee', ' cumin seeds', ' green chilli sauce', ' cinnamon powder', ' garam masala powder', ' red chilli powder', ' dry mango powder', ' green peas matar', ' salt', ' all purpose flour', ' water']"
Continental,Eggless Chocolate Cupcakes With Raspberry & Cheese Frosting,"['all purpose flour', ' sugar', ' dark chocolate', ' cocoa powder', ' butter', ' milk', ' baking powder', ' baking soda', ' vanilla extract', ' cream cheese', ' sugar', ' vanilla extract', ' raspberries']"
Continental,Herbal Brown Rice Recipe - Herbal Brown Rice Recipe,"['brown rice', ' onions', ' garlic', ' oregano', ' rosemary', ' chilli flakes', ' salt', ' oil', ' water']"
South Indian Recipes,Peerkangai Thogayal Recipe (Ridge Gourd Peel Chutney),"['ridge gourd skin turai', ' white urad', ' fenugreek seeds', ' red chillies', ' curry leaves', ' tamarind', ' mustard seeds', ' red chillies', ' curry leaves', ' sunflower oil', ' salt']"
Indian,Dalia Pakora Recipe - Dalia Pakora Recipe,"['wheat', ' salt', ' sunflower oil', ' flour', ' onion', ' coriander dhania leaves', ' chilli', ' salt', ' turmeric powder', ' cumin seeds', ' carom seeds', ' sunflower oil', ' water', ' enos fruit salt', ' sunflower oil']"
Continental,Pan Fried Rice Balls Filled With Cheese Recipe,"['extra virgin olive oil', ' butter unsalted', ' onion', ' jasmine rice', ' salt', ' sweet corn', ' parsley leaves', ' parmesan cheese', ' mozzarella cheese', ' all purpose flour', ' eggs', ' wheat bread crumbs', ' sunflower oil']"
South Indian Recipes,Spicy Seafood Stew Casserole With Tomatoes And Lime Recipe,"['fish basa', ' prawns', ' baby potatoes', ' carrots', ' onion', ' tomato', ' red chillies', ' garlic', ' cumin powder', ' paprika powder', ' salt', ' lemon juice', ' black pepper powder', ' coriander', ' extra virgin olive oil', ' chicken stock', ' coconut milk']"
South Indian Recipes,Beetroot Sambar Recipe,"['peel', ' arhar', ' tamarind water', ' sambar powder', ' mustard', ' asafoetida', ' curry leaves', ' red chili', ' sesame oil', ' coriander', ' salt']"
North Indian Recipes,Kaddu Palak Roti Recipe (Pumpkin Spinach Flat Bread),"['wheat flour', ' spinach', ' pumpkin', ' red chilli powder', ' turmeric powder', ' coriander powder', ' cumin seeds', ' salt', ' water', ' sunflower oil']"
North Indian Recipes,Vegan Chickpea Omelette Recipe (Spiced Chickpea Flour Pancakes),"['flour', ' coconut milk', ' water', ' ginger', ' garlic', ' carom seeds', ' asafoetida hing', ' turmeric powder haldi', ' baking soda', ' green chillies', ' onion', ' tomato', ' coriander', ' salt', ' sunflower oil']"
Indian,Tofu Pulao Recipe,"['rice', ' ghee', ' cumin seeds', ' bay leaf', ' lentil sugar', ' green chillies', ' ginger garlic paste', ' onions', ' tomatoes', ' green red', ' red chilli powder', ' turmeric powder', ' coriander powder', ' garam masala powder', ' tofu cut', ' salt', ' coriander']"
Continental,Tomato Relish Recipe,"['tomatoes', ' onion', ' red wine vinaigrette', ' oregano', ' garlic', ' black pepper powder', ' dijon mustard', ' cane sugar', ' virgin olive oil', ' salt']"
Continental,Mango Donut Cake Recipe With Chocolate Glaze,"['vivatta maida', ' mango pulp puree', ' baking powder', ' baking soda', ' sunflower oil', ' sugar', ' salt', ' vanilla extract', ' dark chocolate', ' cream', ' cocoa powder', ' sugar powdered']"
North Indian Recipes,Matar Paneer Kachori Korma Recipe - Green Peas And Paneer Kachori Curry,"['all purpose flour', ' sunflower oil', ' carom seeds', ' salt', ' sunflower oil', ' green peas', ' cottage cheese', ' coriander powder', ' red chilli powder', ' dry mango powder', ' turmeric powder', ' sunflower oil', ' salt and pepper', ' onion', ' tomato puree', ' ginger garlic paste', ' cashews', ' curd dahi yogurt', ' cloves', ' mace', ' cardamom', ' cinnamon stick', ' cumin seeds', ' garam masala powder', ' red chilli powder', ' turmeric powder', ' coriander powder', ' fenugreek', ' sugar', ' salt', ' coriander dhania', ' fresh cream', ' sunflower oil']"
Continental,Zucchini Roll Up Lasagne Recipe,"['green zucchini', ' salt', ' extra virgin olive oil', ' mozzarella cheese', ' zucchini', ' red bell pepper capsicum', ' onion', ' garlic', ' thyme leaves', ' rosemary', ' red chilli flakes', ' salt', ' tomatoes', ' onion', ' garlic', ' black pepper', ' red chilli flakes', ' sugar', ' basil leaves', ' salt']"
South Indian Recipes,Thengai Sadam Recipe (A Quick and Healthy Coconut Rice),"['coconut', ' rice', ' mustard seeds', ' white urad', ' chana dal', ' raw peanuts', ' curry leaves', ' green chillies', ' ginger', ' coconut oil', ' salt']"
South Indian Recipes,Roasted Cauliflower Recipe,"['cauliflower', ' garlic', ' cumin seeds', ' coriander powder', ' black pepper powder', ' extra virgin olive oil', ' powder pomegranate seed powder', ' pomegranate molasses', ' herbs herbs', ' salt']"
Indian,Crunchy Ginger Capsicum Rice Recipe,"['basmati rice cooked', ' yellow bell pepper capsicum', ' red bell pepper capsicum', ' green bell pepper capsicum', ' green chillies', ' ginger', ' butter', ' sesame seeds til seeds', ' salt']"
North Indian Recipes,Paneer and Green Peas Paratha Recipe - Paneer and Green Peas Paratha Recipe,"['green peas', ' cheese', ' ginger chili', ' turmeric powder', ' red chili powder', ' mango powder powder', ' coriander powder', ' salt', ' wheat flour', ' salt', ' oil', ' water lukewarm']"
Indian,Elephant Yam Raita (Recipe In Hindi),"['elephant', ' green chilli', ' ginger', ' coriander', ' salt', ' curd', ' oil', ' rye', ' kali urad']"
North Indian Recipes,Murgh Malaiwala Recipe - Chicken In Rich Creamy Gravy,"['chicken', ' ginger paste', ' garlic paste', ' cream', ' badam almond paste', ' lemon juice', ' black pepper powder', ' salt', ' onion', ' cream', ' milk', ' cardamom powder', ' cinnamon stick', ' bay leaf', ' fenugreek leaves', ' ghee']"
